x	y
-0.00165289	1.0062
-0.00165289	0.972253
0.00661157	0.999878
0.014876	0.999725
0.0231405	0.999571
0.031405	0.999418
0.0396694	0.999265
0.0479339	0.999112
0.0561983	0.998959
0.0644628	0.998806
0.0727273	0.998653
0.0809917	0.9985
0.0892562	0.998347
0.0975207	0.998194
0.105785	0.99907
0.11405	0.998917
0.122314	0.998764
0.130579	0.997582
0.138843	0.997429
0.147107	0.997276
0.155372	0.997123
0.163636	0.99697
0.171901	0.996817
0.180165	0.996664
0.18843	0.996511
0.196694	0.996358
0.204959	0.996204
0.213223	0.996051
0.221488	0.995898
0.229752	0.995745
0.238017	0.995592
0.246281	0.995439
0.254545	0.995286
0.26281	0.995133
0.271074	0.99498
0.279339	0.994827
0.287603	0.994674
0.295868	0.994521
0.304132	0.994368
0.312397	0.994215
0.320661	0.994062
0.328926	0.993909
0.33719	0.993756
0.345455	0.993603
0.353719	0.99345
0.361983	0.993297
0.370248	0.993144
0.378512	0.992991
0.386777	0.992837
0.395041	0.992684
0.403306	0.992531
0.41157	0.992378
0.419835	0.993254
0.428099	0.993101
0.436364	0.992948
0.444628	0.992795
0.452893	0.992642
0.461157	0.992489
0.469421	0.992336
0.477686	0.992183
0.48595	0.99203
0.494215	0.991877
0.502479	0.991724
0.510744	0.992599
0.519008	0.992446
0.527273	0.992293
0.535537	0.99214
0.543802	0.991987
0.552066	0.991834
0.560331	0.991681
0.568595	0.991528
0.57686	0.991375
0.585124	0.991222
0.593388	0.991069
0.601653	0.987829
0.60153	0.6
0.60153	0.6
0.609917	0.322039
0.618182	-0.0093902
0.626446	-0.00954324
0.634711	-0.00969629
0.642975	-0.00984934
0.65124	-0.0100024
0.659504	-0.0101554
0.667769	-0.0103085
0.676033	-0.0104615
0.684298	-0.0106146
0.692562	-0.0117964
0.700826	-0.0119495
0.709091	-0.716835
0.709091	-0.716835
0.717355	-1.29003
0.72562	-1.00006
0.733884	-0.809887
0.742149	-0.677324
0.750413	-0.566366
0.758678	-0.477013
0.766942	-0.40412
0.775207	-0.340487
0.783471	-0.291258
0.791736	-0.244086
0.8	-0.204115
0.808264	-0.171346
0.816529	-0.142693
0.824793	-0.117126
0.833058	-0.0977315
0.841322	-0.0793661
0.849587	-0.0610006
0.857851	-0.0498368
0.866116	-0.0376441
0.87438	-0.0295667
0.882645	-0.0245757
0.890909	-0.0164983
0.899174	-0.00944972
0.907438	-0.00754515
0.915702	-0.00666939
0.923967	-0.00476482
0.932231	-0.00286025
0.940496	-0.0030133
0.94876	-0.00419515
0.957025	-0.005377
0.965289	-0.00655885
0.973554	-0.00876951
0.981818	-0.0109802
0.990083	-0.0131908
0.998347	-0.0143727
0.604959	-0.0204622
0.707438	-0.0131007
0.712397	-1.41134
0.712397	-1.41134
