x	y
-3.41E-04	1.03396
0.00790507	1.00811
0.0161429	1.00627
0.0243802	1.00614
0.0326175	1.00601
0.0408547	1.00589
0.049092	1.00576
0.0573293	1.00563
0.0655666	1.0055
0.0738038	1.00538
0.0820411	1.00525
0.0902784	1.00512
0.0985157	1.005
0.106753	1.00487
0.11499	1.00474
0.123227	1.00461
0.131465	1.00449
0.139702	1.00436
0.147939	1.00423
0.156177	1.00411
0.164414	1.00398
0.172651	1.00385
0.180888	1.00372
0.189126	1.0036
0.197363	1.00347
0.2056	1.00334
0.213837	1.00322
0.222075	1.00309
0.230312	1.00296
0.238549	1.00283
0.246787	1.00271
0.255024	1.00258
0.263261	1.00245
0.271498	1.00233
0.279736	1.0022
0.287973	1.00207
0.29621	1.00194
0.304448	1.00182
0.312685	1.00169
0.320922	1.00156
0.329159	1.00144
0.337397	1.00131
0.345634	1.00118
0.353871	1.00105
0.362108	1.00093
0.370346	1.0008
0.378583	1.00067
0.38682	1.00055
0.395058	1.00042
0.403295	1.00029
0.411532	1.00016
0.419769	1.00004
0.428007	0.999911
0.436244	0.999784
0.444481	0.999656
0.452718	0.999529
0.460956	0.999402
0.469193	0.999275
0.47743	0.999148
0.485668	0.999021
0.493905	0.998894
0.502142	0.998767
0.510379	0.99864
0.518617	0.998512
0.526854	0.998385
0.535091	0.998258
0.543328	0.998131
0.551566	0.998004
0.559803	0.997877
0.56804	0.99775
0.576278	0.997623
0.584515	0.997495
0.592752	0.997368
0.600817	1.52022
0.60887	2.07908
0.617108	2.07724
0.625345	2.07883
0.633582	2.0787
0.641819	2.07857
0.650057	2.07845
0.658294	2.07832
0.666531	2.07991
0.674768	2.07978
0.683005	2.07965
0.691242	2.07952
0.69948	2.0794
0.707282	3.39786
0.715282	4.11962
0.723798	3.27415
0.732156	2.90537
0.740469	2.67719
0.748761	2.51074
0.757039	2.38715
0.765312	2.279
0.773577	2.19485
0.781836	2.12785
0.790091	2.07457
0.798342	2.03329
0.806592	1.99373
0.81484	1.96102
0.823087	1.93174
0.831334	1.90075
0.839578	1.88176
0.847821	1.86277
0.856064	1.8455
0.864306	1.83166
0.872548	1.8161
0.880791	1.79882
0.889032	1.78669
0.897273	1.77628
0.905515	1.76072
0.913756	1.7503
0.921997	1.73817
0.930238	1.72776
0.938478	1.72077
0.946718	1.71207
0.954958	1.70166
0.963198	1.69467
0.971437	1.68768
0.979676	1.68241
0.987916	1.67371
0.996156	1.66673
0.60428	1.00919
0.604168	1.3487
0.604026	1.7808
0.603924	2.08945
0.706062	2.1033
0.705858	2.72059
0.707343	3.21439
0.707139	3.83168
0.708665	4.20203
0.708517	4.64956
0.711929	4.29457
0.708497	4.71129
0.708497	4.71129
