x	y
-0.00165017	1.04488
-0.00165017	1.00256
-0.00165017	0.939613
0.00660066	0.992321
0.0148515	0.992398
0.0231023	0.992475
0.0313531	0.992551
0.039604	0.992628
0.0478548	0.992705
0.0561056	0.992781
0.0643564	0.992858
0.0726073	0.992934
0.0808581	0.993011
0.0891089	0.993088
0.0973597	0.993164
0.105611	0.994273
0.113861	0.99435
0.122112	0.994426
0.130363	0.994503
0.138614	0.994579
0.146865	0.994656
0.155116	0.994733
0.163366	0.994809
0.171617	0.994886
0.179868	0.994963
0.188119	0.995039
0.19637	0.995116
0.20462	0.995193
0.212871	0.995269
0.221122	0.996378
0.229373	0.996454
0.237624	0.996531
0.245875	0.996608
0.254125	0.996684
0.262376	0.996761
0.270627	0.996838
0.278878	0.996914
0.287129	0.996991
0.29538	0.997068
0.30363	0.997144
0.311881	0.997221
0.320132	0.997297
0.328383	0.997374
0.336634	0.997451
0.344884	0.997527
0.353135	0.997604
0.361386	0.997681
0.369637	0.997757
0.377888	0.997834
0.386139	0.99791
0.394389	0.997987
0.40264	0.998064
0.410891	0.99814
0.419142	0.998217
0.427393	0.998294
0.435644	0.99837
0.443894	0.998447
0.452145	0.998524
0.460396	0.9986
0.468647	0.998677
0.476898	0.998753
0.485149	0.99883
0.493399	0.998907
0.50165	0.998983
0.509901	0.99906
0.518152	0.999137
0.526403	0.999213
0.534653	0.99929
0.542904	0.999367
0.551155	0.999443
0.559406	0.99952
0.567657	0.999596
0.575908	0.999673
0.584158	0.99975
0.592409	0.999826
0.60066	1.00093
0.608911	1.43961
0.617162	1.59448
0.625413	1.59456
0.633663	1.59464
0.641914	1.59471
0.650165	1.59479
0.658416	1.59487
0.666667	1.59494
0.674917	1.59502
0.683168	1.5951
0.691419	1.59517
0.69967	1.59525
0.707921	2.12577
0.716172	2.81935
0.724422	3.05265
0.732673	3.12187
0.740924	3.15291
0.749175	3.16227
0.757426	3.16235
0.765677	3.1583
0.773927	3.15837
0.782178	3.15536
0.790429	3.1544
0.79868	3.15448
0.806931	3.15455
0.815182	3.15669
0.823432	3.16399
0.831683	3.17233
0.839934	3.17963
0.848185	3.19209
0.856436	3.20145
0.864686	3.21701
0.872937	3.23153
0.881188	3.24812
0.889439	3.26574
0.89769	3.28336
0.905941	3.30305
0.914191	3.3217
0.922442	3.33932
0.930693	3.35694
0.938944	3.37766
0.947195	3.39631
0.955446	3.41496
0.963696	3.43362
0.971947	3.4533
0.980198	3.47195
0.988449	3.48235
0.9967	3.49171
0.60396	1.10004
0.60396	1.5923
0.707921	1.60255
0.707921	1.81617
0.707921	2.03908
0.709571	2.36418
0.709571	2.54993
0.709571	2.64281
0.719472	2.94941
